zip3,year,quarter,hpi_index
14,2015,4,206.16
14,2016,1,205.78
14,2016,2,209.41
14,2016,3,213.46
14,2016,4,213.52
14,2017,1,214.54
14,2017,2,222.37
14,2017,3,226.37
14,2017,4,224.96
14,2018,1,229.29
14,2018,2,235.1
14,2018,3,236.7
14,2018,4,238.19
14,2019,1,242.8
14,2019,2,245.55
14,2019,3,248.45
14,2019,4,251.15
14,2020,1,254.31
14,2020,2,256.97
14,2020,3,262.42
14,2020,4,269.76
14,2021,1,276.56
14,2021,2,295.05
14,2021,3,312.86
14,2021,4,318.71
14,2022,1,327.3
14,2022,2,356.47
14,2022,3,353.31
14,2022,4,349.96
14,2023,1,359.4
14,2023,2,379.21
14,2023,3,378.95
14,2023,4,377.1
14,2024,1,394.39
14,2024,2,398.36
14,2024,3,405.2
14,2024,4,403.38
14,2025,1,408.71
14,2025,2,419.53
14,2025,3,417.42
14,2025,4,423.25
15,1995,1,100.0
15,1995,2,100.78
15,1995,3,102.62
15,1995,4,102.51
15,1996,1,103.3
15,1996,2,103.41
15,1996,3,103.41
15,1996,4,104.51
15,1997,1,106.42
15,1997,2,107.12
15,1997,3,107.93
15,1997,4,109.45
15,1998,1,110.6
15,1998,2,112.27
15,1998,3,114.7
15,1998,4,116.17
15,1999,1,117.52
15,1999,2,121.25
15,1999,3,124.82
15,1999,4,126.99
15,2000,1,132.63
15,2000,2,137.0
15,2000,3,141.13
15,2000,4,144.57
15,2001,1,148.14
15,2001,2,152.33
15,2001,3,158.6
15,2001,4,162.35
15,2002,1,166.44
15,2002,2,173.06
15,2002,3,177.96
15,2002,4,181.81
15,2003,1,185.51
15,2003,2,188.6
15,2003,3,192.0
15,2003,4,199.76
15,2004,1,203.04
15,2004,2,207.96
15,2004,3,217.4
15,2004,4,222.36
15,2005,1,226.06
15,2005,2,231.64
15,2005,3,235.99
15,2005,4,237.47
15,2006,1,238.04
15,2006,2,236.44
15,2006,3,233.77
15,2006,4,235.0
15,2007,1,231.98
15,2007,2,229.35
15,2007,3,224.11
15,2007,4,224.16
15,2008,1,222.84
15,2008,2,215.73
15,2008,3,207.65
15,2008,4,207.25
15,2009,1,208.55
15,2009,2,201.56
15,2009,3,198.97
15,2009,4,199.4
15,2010,1,198.4
15,2010,2,196.39
15,2010,3,197.58
15,2010,4,197.12
15,2011,1,193.67
15,2011,2,190.64
15,2011,3,191.75
15,2011,4,191.37
15,2012,1,189.45
15,2012,2,188.72
15,2012,3,189.61
15,2012,4,190.58
15,2013,1,190.61
15,2013,2,190.0
15,2013,3,191.57
15,2013,4,193.2
15,2014,1,194.08
15,2014,2,196.53
15,2014,3,198.37
15,2014,4,199.62
15,2015,1,201.04
15,2015,2,204.08
15,2015,3,206.67
15,2015,4,206.85
15,2016,1,207.74
15,2016,2,210.34
15,2016,3,213.59
15,2016,4,215.62
15,2017,1,216.38
15,2017,2,221.19
15,2017,3,225.34
15,2017,4,227.0
15,2018,1,229.98
15,2018,2,233.88
15,2018,3,236.02
15,2018,4,235.67
15,2019,1,238.97
15,2019,2,241.69
15,2019,3,244.73
15,2019,4,247.34
15,2020,1,248.82
15,2020,2,252.69
15,2020,3,257.52
15,2020,4,263.38
15,2021,1,271.02
15,2021,2,285.5
15,2021,3,301.15
15,2021,4,308.75
15,2022,1,313.5
15,2022,2,333.13
15,2022,3,341.21
15,2022,4,333.02
15,2023,1,341.39
15,2023,2,354.24
15,2023,3,359.63
15,2023,4,361.07
15,2024,1,369.92
15,2024,2,377.4
15,2024,3,383.23
15,2024,4,386.77
15,2025,1,395.37
15,2025,2,397.82
15,2025,3,399.34
15,2025,4,402.74
16,1995,1,100.0
16,1995,2,103.17
16,1995,3,104.86
16,1995,4,106.04
16,1996,1,108.03
16,1996,2,108.26
16,1996,3,106.76
16,1996,4,107.94
16,1997,1,107.14
16,1997,2,110.67
16,1997,3,109.82
16,1997,4,112.92
16,1998,1,116.48
16,1998,2,115.37
16,1998,3,118.43
16,1998,4,120.28
16,1999,1,121.03
16,1999,2,122.74
16,1999,3,127.62
16,1999,4,128.82
16,2000,1,135.27
16,2000,2,136.79
16,2000,3,142.8
16,2000,4,146.8
16,2001,1,150.53
16,2001,2,156.15
16,2001,3,161.91
16,2001,4,167.18
16,2002,1,172.53
16,2002,2,180.42
16,2002,3,186.74
16,2002,4,193.32
16,2003,1,196.62
16,2003,2,202.47
16,2003,3,207.87
16,2003,4,216.88
16,2004,1,221.25
16,2004,2,227.86
16,2004,3,237.87
16,2004,4,241.8
16,2005,1,248.27
16,2005,2,254.0
16,2005,3,258.54
16,2005,4,261.15
16,2006,1,263.8
16,2006,2,258.32
16,2006,3,253.76
16,2006,4,255.41
16,2007,1,252.14
16,2007,2,251.37
16,2007,3,243.09
16,2007,4,239.63
16,2008,1,236.98
16,2008,2,225.93
16,2008,3,219.98
16,2008,4,221.29
16,2009,1,219.3
16,2009,2,209.2
16,2009,3,204.56
16,2009,4,207.07
16,2010,1,205.95
16,2010,2,204.33
16,2010,3,205.47
16,2010,4,203.18
16,2011,1,194.93
16,2011,2,192.1
16,2011,3,192.2
16,2011,4,191.35
16,2012,1,189.65
16,2012,2,186.93
16,2012,3,188.42
16,2012,4,189.5
16,2013,1,190.64
16,2013,2,190.57
16,2013,3,194.59
16,2013,4,192.18
16,2014,1,192.97
16,2014,2,196.96
16,2014,3,198.1
16,2014,4,198.97
16,2015,1,202.8
16,2015,2,202.33
16,2015,3,205.31
16,2015,4,208.95
16,2016,1,210.12
16,2016,2,215.71
16,2016,3,216.2
16,2016,4,215.7
16,2017,1,221.82
16,2017,2,225.28
16,2017,3,231.97
16,2017,4,230.05
16,2018,1,238.37
16,2018,2,243.86
16,2018,3,249.97
16,2018,4,248.38
16,2019,1,252.42
16,2019,2,258.47
16,2019,3,262.92
16,2019,4,267.76
16,2020,1,269.4
16,2020,2,273.29
16,2020,3,282.6
16,2020,4,291.82
16,2021,1,302.82
16,2021,2,316.96
16,2021,3,339.73
16,2021,4,344.22
16,2022,1,353.13
16,2022,2,376.25
16,2022,3,377.31
16,2022,4,385.14
16,2023,1,386.76
16,2023,2,401.9
16,2023,3,413.04
16,2023,4,406.5
16,2024,1,416.75
16,2024,2,432.31
16,2024,3,434.23
16,2024,4,445.54
16,2025,1,441.7
16,2025,2,463.48
16,2025,3,457.97
16,2025,4,453.05
17,1995,1,100.0
17,1995,2,101.68
17,1995,3,102.85
17,1995,4,103.25
17,1996,1,104.5
17,1996,2,105.09
17,1996,3,105.02
17,1996,4,107.12
17,1997,1,108.15
17,1997,2,110.31
17,1997,3,111.7
17,1997,4,113.33
17,1998,1,114.74
17,1998,2,117.29
17,1998,3,119.83
17,1998,4,121.11
17,1999,1,124.09
17,1999,2,129.32
17,1999,3,134.48
17,1999,4,138.11
17,2000,1,144.02
17,2000,2,149.05
17,2000,3,154.34
17,2000,4,157.62
17,2001,1,161.13
17,2001,2,166.6
17,2001,3,171.47
17,2001,4,173.75
17,2002,1,176.97
17,2002,2,182.93
17,2002,3,186.81
17,2002,4,189.88
17,2003,1,192.12
17,2003,2,194.24
17,2003,3,196.47
17,2003,4,203.03
17,2004,1,205.68
17,2004,2,209.21
17,2004,3,220.18
17,2004,4,221.77
17,2005,1,227.07
17,2005,2,232.8
